,City,Country,Latitude,Longtitude,Time of Searching,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
94,Tuktoyaktuk,CA,69.44,-133.03,2018-08-25 20:18:53.843259,50.0,71,75,8.05
95,Mount Gambier,AU,-37.83,140.78,2018-08-25 20:18:53.843259,49.88,95,92,3.62
96,Pevek,RU,69.7,170.27,2018-08-25 20:18:53.843259,37.46,100,36,10.45
97,Busselton,AU,-33.64,115.35,2018-08-25 20:18:53.843259,53.39,100,88,8.21
98,Coihaique,CL,-45.58,-72.07,2018-08-25 20:18:53.843259,42.49,93,90,8.05
99,Barrow,AR,-38.31,-60.23,2018-08-25 20:18:53.843259,37.46,47,0,3.06
100,Clyde River,CA,70.47,-68.59,2018-08-25 20:18:53.843259,35.6,93,1,6.93
101,Nouadhibou,MR,20.93,-17.03,2018-08-25 20:18:53.843259,71.6,78,0,14.99
102,Cayenne,GF,4.94,-52.33,2018-08-25 20:18:53.843259,78.8,94,0,8.21
103,Dingle,PH,11.0,122.67,2018-08-25 20:18:53.843259,81.2,79,76,5.53
104,Chumikan,RU,54.72,135.31,2018-08-25 20:18:53.843259,64.37,81,0,2.17
105,Hermanus,ZA,-34.42,19.24,2018-08-25 20:18:53.843259,45.29,99,92,11.79
106,Mustasaari,FI,63.17,21.67,2018-08-25 20:18:53.843259,50.0,93,80,9.17
107,Salinopolis,BR,-0.61,-47.36,2018-08-25 20:18:53.843259,80.57,96,0,12.68
108,Uyuni,BO,-20.46,-66.82,2018-08-25 20:18:53.843259,36.83,29,0,6.98
109,Sao Miguel do Araguaia,BR,-13.28,-50.16,2018-08-25 20:18:53.843259,73.55,83,0,2.62
110,Ndioum,SN,16.51,-14.65,2018-08-25 20:18:53.843259,84.2,79,0,4.7
111,Nishihara,JP,35.74,139.53,2018-08-25 20:18:53.843259,88.32,62,40,1.12
112,Caravelas,BR,-17.73,-39.27,2018-08-25 20:18:53.843259,75.89,100,0,15.03
113,Ponta do Sol,BR,-20.63,-46.0,2018-08-25 20:18:53.843259,63.74,92,36,0.38
